ID,FCN3,CLEC4M,CLEC1B,PRC1,PBK
adjacent.non_tumor,11.3079653801365,6.38987538840559,7.14792525945275,6.69968905996527,4.33743654503611
adjacent.non_tumor.1,12.0630371590947,9.22911239136041,9.54233958004827,4.33743654503611,3.7859520980515
adjacent.non_tumor.2,12.0630371590947,8.62895571263495,10.3058929384872,4.76023553748922,3.7859520980515
adjacent.non_tumor.3,10.6421807720928,6.69968905996527,9.22911239136041,4.33743654503611,3.7859520980515
adjacent.non_tumor.4,11.6483061984071,7.14792525945275,9.91019281520229,4.76023553748922,4.33743654503611
adjacent.non_tumor.5,11.6483061984071,8.30895863275114,9.54233958004827,5.93530141243336,5.70871118482334
adjacent.non_tumor.6,11.6483061984071,7.58129064081714,8.92164940124098,5.43504974362439,4.33743654503611
adjacent.non_tumor.7,11.6483061984071,6.38987538840559,8.92164940124098,5.11537311094441,3.7859520980515
adjacent.non_tumor.8,11.6483061984071,6.16374267778794,9.91019281520229,5.11537311094441,4.33743654503611
adjacent.non_tumor.9,11.6483061984071,7.58129064081714,9.91019281520229,5.70871118482334,3.7859520980515
adjacent.non_tumor.10,10.6421807720928,8.92164940124098,9.22911239136041,4.33743654503611,5.11537311094441
adjacent.non_tumor.11,12.0630371590947,9.54233958004827,9.91019281520229,5.11537311094441,3.7859520980515
adjacent.non_tumor.12,10.9580890057463,5.43504974362439,9.22911239136041,5.11537311094441,4.33743654503611
adjacent.non_tumor.13,12.0630371590947,10.3058929384872,8.62895571263495,5.43504974362439,3.7859520980515
adjacent.non_tumor.14,11.6483061984071,8.62895571263495,9.54233958004827,4.33743654503611,4.76023553748922
adjacent.non_tumor.15,10.9580890057463,5.11537311094441,6.69968905996527,4.76023553748922,3.7859520980515
adjacent.non_tumor.16,11.6483061984071,8.92164940124098,9.22911239136041,4.76023553748922,3.7859520980515
adjacent.non_tumor.17,10.6421807720928,8.92164940124098,9.22911239136041,4.33743654503611,3.7859520980515
adjacent.non_tumor.18,11.6483061984071,5.11537311094441,9.54233958004827,5.93530141243336,3.7859520980515
adjacent.non_tumor.19,12.0630371590947,8.62895571263495,9.91019281520229,5.43504974362439,4.33743654503611
