ID,FCN3,CLEC4M,CLEC1B,PRC1,PBK
adjacent.non_tumor,12.8949039967568,9.55360452619699,11.3226855626846,5.43827694058246,3.7859520980515
adjacent.non_tumor.1,12.8949039967568,9.23976436845104,11.3226855626846,6.39466679540517,4.76214215870142
adjacent.non_tumor.2,11.3226855626846,9.92217763069574,11.6636924099538,5.71247392276223,4.33851577095976
adjacent.non_tumor.3,12.8949039967568,9.92217763069574,11.6636924099538,6.1683958883158,3.7859520980515
adjacent.non_tumor.4,11.6636924099538,7.58871791780885,11.3226855626846,7.15450446329111,5.11797471762326
adjacent.non_tumor.5,12.8949039967568,10.3186521182141,10.9721244987163,6.7056954225396,3.7859520980515
adjacent.non_tumor.6,12.8949039967568,9.55360452619699,12.079234977218,6.39466679540517,4.76214215870142
adjacent.non_tumor.7,12.8949039967568,9.92217763069574,11.6636924099538,6.39466679540517,4.76214215870142
adjacent.non_tumor.8,11.6636924099538,9.92217763069574,12.079234977218,5.71247392276223,3.7859520980515
adjacent.non_tumor.9,12.8949039967568,9.55360452619699,12.079234977218,7.15450446329111,5.71247392276223
adjacent.non_tumor.10,12.079234977218,8.31780991755486,11.3226855626846,6.1683958883158,4.33851577095976
adjacent.non_tumor.11,12.8949039967568,9.23976436845104,11.6636924099538,6.39466679540517,4.33851577095976
adjacent.non_tumor.12,12.8949039967568,9.23976436845104,11.3226855626846,6.39466679540517,4.76214215870142
adjacent.non_tumor.13,12.8949039967568,8.93169968950554,11.6636924099538,6.7056954225396,5.11797471762326
adjacent.non_tumor.14,12.8949039967568,8.93169968950554,11.6636924099538,6.1683958883158,3.7859520980515
adjacent.non_tumor.15,11.6636924099538,8.31780991755486,10.6555980493414,6.1683958883158,4.76214215870142
adjacent.non_tumor.16,12.079234977218,7.58871791780885,11.3226855626846,6.1683958883158,4.76214215870142
adjacent.non_tumor.17,12.8949039967568,10.6555980493414,10.9721244987163,6.39466679540517,3.7859520980515
adjacent.non_tumor.18,11.6636924099538,9.23976436845104,12.8949039967568,5.71247392276223,3.7859520980515
adjacent.non_tumor.19,12.8949039967568,9.55360452619699,11.6636924099538,6.1683958883158,4.76214215870142
adjacent.non_tumor.20,12.079234977218,10.6555980493414,11.3226855626846,6.39466679540517,3.7859520980515
adjacent.non_tumor.21,12.8949039967568,9.55360452619699,12.079234977218,5.93950757547521,4.76214215870142
adjacent.non_tumor.22,12.8949039967568,9.23976436845104,11.3226855626846,6.1683958883158,3.7859520980515
adjacent.non_tumor.23,12.8949039967568,9.23976436845104,11.6636924099538,6.7056954225396,4.76214215870142
adjacent.non_tumor.24,11.6636924099538,8.63843321481614,10.9721244987163,6.39466679540517,5.43827694058246
adjacent.non_tumor.25,12.8949039967568,9.55360452619699,11.6636924099538,5.93950757547521,4.76214215870142
adjacent.non_tumor.26,12.8949039967568,9.92217763069574,11.6636924099538,5.71247392276223,3.7859520980515
adjacent.non_tumor.27,12.8949039967568,9.55360452619699,12.079234977218,6.39466679540517,3.7859520980515
adjacent.non_tumor.28,11.6636924099538,9.23976436845104,10.9721244987163,6.39466679540517,4.76214215870142
adjacent.non_tumor.29,12.8949039967568,9.92217763069574,11.3226855626846,5.93950757547521,3.7859520980515
adjacent.non_tumor.30,11.6636924099538,8.93169968950554,11.3226855626846,6.7056954225396,4.76214215870142
adjacent.non_tumor.31,12.8949039967568,9.55360452619699,11.3226855626846,6.1683958883158,3.7859520980515
adjacent.non_tumor.32,11.6636924099538,8.93169968950554,10.9721244987163,6.7056954225396,5.93950757547521
adjacent.non_tumor.33,11.3226855626846,8.31780991755486,10.6555980493414,6.7056954225396,5.43827694058246
adjacent.non_tumor.34,12.8949039967568,9.92217763069574,12.079234977218,5.71247392276223,3.7859520980515
adjacent.non_tumor.35,12.079234977218,8.63843321481614,11.6636924099538,6.1683958883158,4.76214215870142
adjacent.non_tumor.36,12.079234977218,9.55360452619699,10.6555980493414,5.71247392276223,3.7859520980515
adjacent.non_tumor.37,10.9721244987163,10.3186521182141,11.3226855626846,5.71247392276223,3.7859520980515
adjacent.non_tumor.38,12.8949039967568,9.23976436845104,12.079234977218,5.43827694058246,3.7859520980515
adjacent.non_tumor.39,12.8949039967568,9.55360452619699,10.6555980493414,6.39466679540517,4.33851577095976
adjacent.non_tumor.40,12.8949039967568,9.55360452619699,11.3226855626846,6.1683958883158,4.76214215870142
adjacent.non_tumor.41,12.8949039967568,9.23976436845104,11.6636924099538,6.1683958883158,4.76214215870142
adjacent.non_tumor.42,12.079234977218,7.58871791780885,11.3226855626846,6.7056954225396,5.43827694058246
adjacent.non_tumor.43,12.8949039967568,9.92217763069574,11.6636924099538,5.93950757547521,4.76214215870142
adjacent.non_tumor.44,12.8949039967568,9.92217763069574,11.6636924099538,5.43827694058246,3.7859520980515
adjacent.non_tumor.45,11.6636924099538,9.55360452619699,12.8949039967568,5.93950757547521,4.76214215870142
adjacent.non_tumor.46,11.3226855626846,8.93169968950554,12.079234977218,6.7056954225396,5.11797471762326
adjacent.non_tumor.47,11.6636924099538,7.15450446329111,10.9721244987163,6.7056954225396,4.33851577095976
adjacent.non_tumor.48,11.6636924099538,9.55360452619699,10.6555980493414,6.7056954225396,4.76214215870142
adjacent.non_tumor.49,12.079234977218,9.92217763069574,12.8949039967568,7.15450446329111,4.76214215870142
adjacent.non_tumor.50,12.079234977218,9.92217763069574,12.8949039967568,6.39466679540517,4.33851577095976
adjacent.non_tumor.51,12.8949039967568,9.23976436845104,12.079234977218,6.1683958883158,5.11797471762326
adjacent.non_tumor.52,12.8949039967568,9.23976436845104,11.6636924099538,6.39466679540517,4.33851577095976
adjacent.non_tumor.53,12.8949039967568,9.92217763069574,12.079234977218,6.39466679540517,4.33851577095976
adjacent.non_tumor.54,12.079234977218,9.55360452619699,10.9721244987163,6.7056954225396,5.11797471762326
adjacent.non_tumor.55,12.079234977218,9.55360452619699,10.6555980493414,6.1683958883158,4.33851577095976
adjacent.non_tumor.56,12.8949039967568,9.55360452619699,11.6636924099538,6.39466679540517,3.7859520980515
adjacent.non_tumor.57,12.8949039967568,9.55360452619699,11.3226855626846,5.43827694058246,3.7859520980515
adjacent.non_tumor.58,12.8949039967568,9.92217763069574,12.079234977218,6.39466679540517,4.33851577095976
adjacent.non_tumor.59,12.8949039967568,10.3186521182141,10.9721244987163,6.7056954225396,4.33851577095976
adjacent.non_tumor.60,12.8949039967568,9.55360452619699,11.6636924099538,6.7056954225396,4.33851577095976
adjacent.non_tumor.61,12.8949039967568,8.93169968950554,12.079234977218,6.39466679540517,3.7859520980515
adjacent.non_tumor.62,12.8949039967568,9.92217763069574,12.079234977218,6.1683958883158,4.33851577095976
adjacent.non_tumor.63,12.8949039967568,9.23976436845104,12.079234977218,5.71247392276223,3.7859520980515
adjacent.non_tumor.64,12.8949039967568,9.55360452619699,11.3226855626846,6.39466679540517,4.76214215870142
adjacent.non_tumor.65,12.8949039967568,9.92217763069574,11.6636924099538,5.11797471762326,3.7859520980515
adjacent.non_tumor.66,12.8949039967568,9.55360452619699,11.3226855626846,6.39466679540517,5.11797471762326
adjacent.non_tumor.67,12.8949039967568,9.92217763069574,11.6636924099538,5.71247392276223,3.7859520980515
adjacent.non_tumor.68,12.8949039967568,8.93169968950554,12.079234977218,6.1683958883158,3.7859520980515
adjacent.non_tumor.69,12.8949039967568,9.23976436845104,12.079234977218,7.15450446329111,4.76214215870142
adjacent.non_tumor.70,12.8949039967568,9.23976436845104,11.3226855626846,6.1683958883158,3.7859520980515
adjacent.non_tumor.71,12.8949039967568,9.92217763069574,12.079234977218,6.39466679540517,4.33851577095976
adjacent.non_tumor.72,11.3226855626846,9.23976436845104,12.079234977218,6.1683958883158,3.7859520980515
adjacent.non_tumor.73,11.6636924099538,9.23976436845104,11.3226855626846,6.39466679540517,4.33851577095976
adjacent.non_tumor.74,12.8949039967568,9.23976436845104,12.079234977218,6.7056954225396,4.33851577095976
adjacent.non_tumor.75,11.3226855626846,10.3186521182141,11.6636924099538,6.7056954225396,4.76214215870142
adjacent.non_tumor.76,12.079234977218,8.93169968950554,12.8949039967568,6.7056954225396,3.7859520980515
adjacent.non_tumor.77,12.079234977218,9.92217763069574,11.6636924099538,5.71247392276223,3.7859520980515
adjacent.non_tumor.78,12.8949039967568,9.92217763069574,12.079234977218,6.39466679540517,3.7859520980515
